1.036,-1.757
0.818,-1.390
1.198,-1.552
0.991,-1.596
0.998,-1.703
1.168,-1.331
1.012,-1.586
0.733,-1.397
1.101,-1.439
1.075,-1.081
0.982,-1.489
1.118,-1.261
0.608,-1.361
1.403,-1.437
1.135,-1.160
0.912,-1.577
1.039,-1.658
0.795,-1.658
1.255,-1.621
1.021,-1.416
0.909,-1.624
1.196,-1.507
1.029,-1.373
0.732,-1.220
0.736,-1.357
0.789,-1.282
0.868,-1.708
0.984,-1.478
1.021,-1.288
0.883,-1.778
0.713,-1.583
0.846,-1.411
1.153,-1.275
1.001,-1.417
1.524,-1.832
1.226,-1.875
1.098,-1.480
0.852,-1.450
1.026,-1.898
0.774,-1.441
1.018,-1.571
1.028,-1.601
0.797,-1.771
1.017,-1.355
1.404,-1.639
0.995,-1.728
0.720,-1.387
1.340,-1.279
1.207,-1.139
1.409,-1.868
1.084,-1.454
1.093,-1.324
1.021,-1.244
0.932,-1.465
1.013,-1.569
1.304,-1.539
1.032,-1.783
1.022,-1.537
0.968,-1.383
1.168,-1.628
1.029,-1.261
1.139,-1.401
0.513,-1.413
0.782,-1.429
1.092,-1.195
0.880,-1.594
0.859,-1.385
1.076,-1.518
1.256,-1.975
1.185,-1.483
1.053,-1.759
0.800,-1.341
0.933,-1.673
1.129,-1.637
0.855,-2.165
1.012,-1.561
1.184,-1.540
1.143,-1.534
1.133,-1.784
0.924,-1.538
0.989,-1.636
0.932,-1.853
1.104,-1.603
0.929,-1.521
0.924,-1.419
1.246,-1.659
1.049,-1.541
1.139,-1.627
0.992,-1.534
0.940,-1.474
1.118,-1.716
0.756,-1.088
1.042,-1.502
1.114,-1.484
1.398,-1.508
1.014,-1.540
1.008,-1.808
0.963,-1.338
1.256,-1.164
1.024,-1.390
0.842,-1.414
0.689,-1.228
1.302,-1.421
1.024,-1.691
1.442,-1.828
1.061,-1.371
1.018,-1.885
0.930,-1.117
0.914,-1.449
1.031,-1.333
0.965,-1.401
0.772,-1.633
0.936,-1.762
1.058,-1.698
0.664,-1.897
0.811,-1.629
0.929,-1.366
0.875,-1.510
0.961,-1.984
1.238,-1.246
1.012,-1.452
0.698,-1.718
0.960,-1.712
0.957,-1.800
0.944,-1.429
1.079,-1.466
0.864,-1.785
1.005,-1.653
0.810,-1.716
0.795,-1.211
1.166,-1.571
1.010,-1.303
1.182,-1.544
0.855,-1.811
0.745,-1.388
0.787,-1.455
0.716,-1.561
1.112,-1.359
1.222,-1.379
0.953,-1.198
0.877,-1.745
0.487,-1.348
1.300,-1.165
0.880,-1.534
1.091,-1.563
1.242,-1.408
1.596,-1.333
0.593,-1.642
0.865,-1.488
1.078,-1.388
0.977,-1.455
1.208,-1.423
1.105,-1.541
0.865,-1.511
1.293,-1.506
0.965,-1.503
1.302,-1.454
1.077,-1.736
0.794,-1.493
0.998,-1.549
0.903,-1.967
0.967,-1.159
1.019,-1.825
1.022,-1.470
0.550,-1.369
1.037,-1.577
0.736,-1.621
1.001,-1.536
1.302,-1.446
1.135,-1.471
1.035,-1.343
1.077,-1.417
1.058,-1.528
0.514,-1.548
1.142,-1.690
0.884,-1.411
0.842,-1.180
1.001,-1.427
1.259,-1.576
0.963,-1.520
1.047,-1.362
1.028,-1.258
1.176,-1.361
0.927,-1.392
1.283,-1.469
0.830,-1.478
1.266,-1.448
1.106,-1.631
0.801,-1.634
1.101,-1.489
0.977,-1.415
0.732,-1.909
0.866,-1.617
0.955,-1.328
1.098,-1.592
0.997,-1.775
1.144,-1.588
1.188,-1.409
1.020,-1.474
0.968,-1.775
1.079,-1.182
1.062,-1.498
1.306,-1.897
0.648,-1.361
1.220,-1.324
0.862,-1.484
0.780,-1.281
1.230,-1.255
1.184,-1.446
0.879,-1.769
1.048,-1.855
1.223,-1.239
0.889,-1.008
0.777,-1.704
0.827,-1.881
1.036,-1.754
1.294,-1.483
0.796,-1.428
0.767,-1.686
0.949,-1.182
1.012,-1.590
0.931,-1.610
0.932,-1.585
1.108,-1.658
0.809,-1.440
1.280,-1.391
0.884,-1.694
1.255,-1.432
0.627,-1.437
1.123,-1.679
1.151,-1.739
1.212,-1.171
1.148,-1.407
0.492,-1.221
0.994,-1.424
1.236,-1.459
1.074,-1.549
1.062,-1.565
1.070,-1.271
0.411,-1.497
0.976,-1.615
0.921,-1.597
1.032,-1.676
0.740,-1.646
1.015,-1.621
0.955,-1.690
1.047,-1.424
0.829,-1.477
1.037,-1.645
1.164,-1.354
1.063,-1.489
1.181,-1.644
1.308,-1.375
1.000,-1.827
1.029,-1.578
1.181,-1.603
0.701,-1.420
1.177,-1.691
1.215,-1.592
0.775,-1.564
0.724,-1.641
1.235,-1.758
0.794,-1.335
0.823,-1.758
1.156,-1.616
0.673,-1.532
0.673,-1.336
0.824,-1.338
0.998,-1.532
1.045,-1.561
0.820,-1.685
1.022,-1.490
0.925,-1.318
1.123,-1.428
1.320,-1.503
0.907,-1.320
1.160,-1.244
0.916,-1.258
1.095,-1.249
0.882,-1.273
0.667,-1.585
1.065,-1.357
0.844,-1.382
0.787,-1.516
0.889,-1.708
0.922,-1.600
0.523,-1.833
1.065,-1.530
1.289,-1.607
0.748,-1.249
0.927,-1.592
1.172,-1.447
0.625,-0.999
0.978,-1.362
0.899,-1.476
1.021,-1.635
1.266,-1.148
0.830,-1.477
1.236,-1.329
1.089,-1.716
1.121,-1.337
0.661,-1.778
0.752,-1.241
1.176,-1.840
0.873,-1.481
0.636,-1.327
0.955,-1.265
0.817,-1.452
0.863,-1.392
0.868,-1.426
1.279,-1.398
1.129,-1.423
1.041,-1.360
1.080,-1.644
0.751,-1.388
1.119,-1.587
0.921,-1.511
1.233,-1.677
0.757,-1.240
0.749,-1.915
1.032,-1.696
1.200,-1.365
0.738,-1.405
1.162,-1.649
0.869,-1.526
0.869,-1.560
1.164,-1.284
0.798,-1.676
0.980,-1.429
0.933,-1.270
1.212,-1.466
0.655,-1.528
0.891,-1.663
0.795,-1.433
0.696,-1.459
0.987,-1.466
1.000,-1.395
1.060,-1.649
0.919,-1.325
0.875,-1.461
1.154,-1.150
0.821,-1.630
0.967,-1.532
0.776,-1.417
0.914,-1.589
1.208,-1.524
0.881,-1.522
0.795,-1.312
1.055,-1.689
1.384,-1.482
1.016,-1.681
0.741,-1.324
0.643,-1.531
1.003,-1.453
0.936,-1.426
1.047,-1.429
1.054,-1.726
1.065,-1.528
0.945,-1.603
1.019,-1.094
0.689,-1.848
1.099,-1.469
1.500,-1.625
1.667,-1.554
1.070,-1.769
1.122,-1.675
1.116,-1.665
1.379,-1.662
0.877,-1.520
1.087,-1.527
0.878,-1.821
0.672,-1.568
1.165,-1.449
1.442,-1.371
0.611,-1.612
0.511,-1.422
1.118,-1.182
1.221,-1.448
1.067,-1.002
0.988,-1.479
0.891,-1.629
0.962,-1.333
1.190,-1.334
1.168,-1.252
0.775,-1.227
1.116,-1.770
0.987,-1.528
1.125,-1.377
1.099,-1.260
1.156,-1.934
1.307,-1.654
0.974,-1.318
1.334,-1.471
0.868,-1.109
0.744,-1.711
0.947,-1.462
1.234,-1.183
1.014,-1.614
0.892,-1.409
0.984,-1.387
0.818,-1.543
1.082,-1.620
1.209,-1.435
0.844,-1.633
0.960,-1.406
0.972,-1.502
0.852,-1.497
0.759,-1.877
1.055,-1.162
1.161,-1.572
0.967,-1.413
1.194,-1.396
1.328,-1.624
1.101,-1.393
1.151,-1.396
0.890,-1.538
